recorded_at,row_type,machine_id,outdoor_temp,outdoor_humidity,mold_temp,env_temp,humidity
2026-06-19 08:23:28,outdoor,,30.11,64.48,,,
2026-06-19 08:23:28,machine,1,,,0.0,26.04,60.63
2026-06-19 08:23:28,machine,2,,,0.0,25.69,58.99
2026-06-19 08:23:28,machine,3,,,0.0,26.49,59.66
2026-06-19 08:23:28,machine,4,,,0.0,26.8,56.87
2026-06-19 08:23:28,machine,5,,,0.0,26.86,58.39
2026-06-19 08:23:28,machine,6,,,0.0,26.45,57.04
2026-06-19 08:23:28,machine,7,,,0.0,26.43,54.31
2026-06-19 08:23:28,machine,8,,,0.0,26.41,57.12
2026-06-19 08:23:28,machine,9,,,0.0,26.59,60.75
2026-06-19 08:23:28,machine,10,,,0.0,26.3,57.79
2026-06-19 08:23:28,machine,11,,,0.0,26.55,60.74
2026-06-19 08:23:28,machine,12,,,0.0,27.47,55.8
2026-06-19 08:23:28,machine,13,,,0.0,26.89,59.72
2026-06-19 08:23:28,machine,14,,,0.0,27.67,61.61
2026-06-19 08:23:28,machine,15,,,0.0,26.86,54.44
2026-06-19 08:23:28,machine,16,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,17,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,18,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,19,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,20,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,21,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,22,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,23,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,24,,,0.0,0.0,0.0
2026-06-19 08:23:28,machine,25,,,0.0,28.46,57.88
2026-06-19 08:23:59,outdoor,,28.13,61.98,,,
2026-06-19 08:23:59,machine,1,,,0.0,26.24,57.59
2026-06-19 08:23:59,machine,2,,,0.0,25.92,59.59
2026-06-19 08:23:59,machine,3,,,0.0,26.47,60.19
2026-06-19 08:23:59,machine,4,,,0.0,25.76,55.98
2026-06-19 08:23:59,machine,5,,,0.0,26.25,61.84
2026-06-19 08:23:59,machine,6,,,0.0,26.77,59.03
2026-06-19 08:23:59,machine,7,,,0.0,26.19,55.93
2026-06-19 08:23:59,machine,8,,,0.0,26.59,58.28
2026-06-19 08:23:59,machine,9,,,0.0,27.31,61.46
2026-06-19 08:23:59,machine,10,,,0.0,26.67,59.46
2026-06-19 08:23:59,machine,11,,,0.0,27.19,55.69
2026-06-19 08:23:59,machine,12,,,0.0,27.48,54.08
2026-06-19 08:23:59,machine,13,,,0.0,27.52,60.52
2026-06-19 08:23:59,machine,14,,,0.0,26.58,60.68
2026-06-19 08:23:59,machine,15,,,0.0,26.84,58.73
2026-06-19 08:23:59,machine,16,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,17,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,18,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,19,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,20,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,21,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,22,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,23,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,24,,,0.0,0.0,0.0
2026-06-19 08:23:59,machine,25,,,0.0,27.48,57.47
2026-06-19 08:24:10,outdoor,,28.33,60.36,,,
2026-06-19 08:24:10,machine,1,,,0.0,25.94,60.59
2026-06-19 08:24:10,machine,2,,,0.0,26.2,61.62
2026-06-19 08:24:10,machine,3,,,0.0,26.55,58.2
2026-06-19 08:24:10,machine,4,,,0.0,26.83,55.01
2026-06-19 08:24:10,machine,5,,,0.0,26.88,56.18
2026-06-19 08:24:10,machine,6,,,0.0,27.0,59.61
2026-06-19 08:24:10,machine,7,,,0.0,26.9,61.63
2026-06-19 08:24:10,machine,8,,,0.0,26.78,58.97
2026-06-19 08:24:10,machine,9,,,0.0,26.93,61.93
2026-06-19 08:24:10,machine,10,,,0.0,26.74,57.87
2026-06-19 08:24:10,machine,11,,,0.0,26.32,55.03
2026-06-19 08:24:10,machine,12,,,0.0,26.68,60.81
2026-06-19 08:24:10,machine,13,,,0.0,27.6,61.99
2026-06-19 08:24:10,machine,14,,,0.0,27.16,56.97
2026-06-19 08:24:10,machine,15,,,0.0,27.74,57.93
2026-06-19 08:24:10,machine,16,,,0.0,0.0,0.0
2026-06-19 08:24:10,machine,17,,,0.0,0.0,0.0
2026-06-19 08:24:10,machine,18,,,0.0,0.0,0.0
2026-06-19 08:24:10,machine,19,,,0.0,0.0,0.0
